INV_DECLARE,NBR_ADI,NBR_EMPLOI_PERVU,MOIS,GOUVERNORAT,del
2399584,28,13,1,EL KEF,TS123
1675034,22,26,1,GABES,TS311
18953910,14,151,1,SOUSSE,TS211
706976,5,9,1,ARIANA,TS112
2278162,18,32,1,MANOUBA,TS114
498413,5,7,1,TUNIS,TS111
10643292,76,64,1,SFAX,TS214
12608388,82,106,1,KASRINE,TS222
5327204,66,65,1,MEDNINE,TS312
7156900,25,181,1,MONASTIR,TS212
2948065,25,7,1,ZAGOUAN,TS116
19799657,71,295,1,NABEUL,TS115
6530926,17,58,1,BEN AROUS,TS113
3952400,33,35,1,TATAOUINE,TS313
7828093,62,152,1,SELIANA,TS124
608423,13,0,1,JANDOUBA,TS122
9674558,37,552,1,BIZERT,TS117
5937987,48,72,1,GAFSA,TS321
7529265,75,110,1,KEROUANE,TS221
9768200,57,89,1,MAHDIA,TS213
8077066,80,117,1,BEJE,TS121
10647273,107,10,1,SIDI BOUZID,TS223
5026901,9,44,1,TOUZER,TS322
3160577,25,29,1,KEBILI,TS323
3494996,49,39,2,EL KEF,TS123
19830100,113,132,2,KEROUANE,TS221
7031760,12,50,2,SOUSSE,TS211
3397592,41,57,2,MEDNINE,TS312
4998191,39,76,2,BIZERT,TS117
19352176,77,99,2,SFAX,TS214
7588705,23,82,2,ZAGOUAN,TS116
1380863,16,18,2,KEBILI,TS323
5819597,68,73,2,KASRINE,TS222
3938535,34,36,2,BEJE,TS121
863426,11,20,2,TUNIS,TS111
1486469,10,13,2,TOUZER,TS322
1090825,18,0,2,JANDOUBA,TS122
689500,4,2,2,ARIANA,TS112
3841848,37,52,2,GAFSA,TS321
2749842,15,22,2,BEN AROUS,TS113
1994256,30,33,2,TATAOUINE,TS313
5161800,25,57,2,MONASTIR,TS212
8231835,21,49,2,MANOUBA,TS114
4009337,37,31,2,SELIANA,TS124
4372500,42,28,2,MAHDIA,TS213
4441815,45,46,2,GABES,TS311
8290856,89,17,2,SIDI BOUZID,TS223
4941857,35,298,2,NABEUL,TS115
2751525,10,15,3,TOUZER,TS322
15644564,72,127,3,KEROUANE,TS221
4401068,34,94,3,BEJE,TS121
3832500,45,31,3,MAHDIA,TS213
2070405,16,2,3,MANOUBA,TS114
4706003,38,49,3,GAFSA,TS321
3163292,37,44,3,SELIANA,TS124
3377500,14,47,3,BEN AROUS,TS113
2715596,29,16,3,EL KEF,TS123
923131,10,20,3,TUNIS,TS111
6701415,78,111,3,KASRINE,TS222
11600390,111,58,3,SIDI BOUZID,TS223
7680362,31,31,3,BIZERT,TS117
3984568,13,12,3,MONASTIR,TS212
10598294,51,247,3,NABEUL,TS115
1351500,8,10,3,ARIANA,TS112
21005830,32,85,3,ZAGOUAN,TS116
3363871,34,52,3,MEDNINE,TS312
6167188,47,39,3,GABES,TS311
1007157,17,0,3,JANDOUBA,TS122
7122962,16,37,3,SOUSSE,TS211
21151162,92,69,3,SFAX,TS214
1515100,23,23,3,TATAOUINE,TS313
3199069,33,41,3,KEBILI,TS323
13077933,49,79,4,NABEUL,TS115
1037950,4,2,4,ARIANA,TS112
2998168,27,31,4,TATAOUINE,TS313
4947700,10,148,4,BEN AROUS,TS113
7663000,51,52,4,MAHDIA,TS213
5552637,35,118,4,SELIANA,TS124
6252847,54,42,4,GABES,TS311
1121433,9,11,4,TUNIS,TS111
1020351,20,455,4,JANDOUBA,TS122
4060569,29,28,4,BIZERT,TS117
3279394,30,42,4,GAFSA,TS321
3873200,18,63,4,MONASTIR,TS212
5455875,35,20,4,EL KEF,TS123
931936,13,11,4,KEBILI,TS323
8558330,8,3232,4,TOUZER,TS322
12786741,85,64,4,SFAX,TS214
1812579,24,30,4,MEDNINE,TS312
1900632,12,27,4,MANOUBA,TS114
4560030,23,7,4,ZAGOUAN,TS116
10658000,50,68,4,KEROUANE,TS221
9611308,92,107,4,SIDI BOUZID,TS223
11574091,68,121,4,KASRINE,TS222
2824665,14,21,4,BEJE,TS121
3087434,11,16,4,SOUSSE,TS211
4324040,45,18,5,EL KEF,TS123
12575835,67,54,5,SFAX,TS214
4131989,32,25,5,SELIANA,TS124
847253,8,19,5,TUNIS,TS111
10695978,32,511,5,GABES,TS311
3600822,15,60,5,MANOUBA,TS114
4666745,13,191,5,ZAGOUAN,TS116
4214379,27,39,5,MEDNINE,TS312
5841794,43,48,5,KASRINE,TS222
5947164,33,139,5,NABEUL,TS115
17496718,27,131,5,BEJE,TS121
22131562,13,37,5,SOUSSE,TS211
1187000,4,4,5,ARIANA,TS112
1013502,23,0,5,JANDOUBA,TS122
3061557,13,93,5,BEN AROUS,TS113
4614500,34,32,5,MAHDIA,TS213
4161438,29,43,5,BIZERT,TS117
2230065,13,16,5,KEBILI,TS323
10419019,86,110,5,SIDI BOUZID,TS223
4786000,32,60,5,KEROUANE,TS221
6020300,18,57,5,TATAOUINE,TS313
4524000,17,33,5,MONASTIR,TS212
1172370,10,9,5,TOUZER,TS322
3451619,33,43,5,GAFSA,TS321
1733389,14,208,6,JANDOUBA,TS122
585900,13,12,6,TATAOUINE,TS313
194484,4,3,6,TUNIS,TS111
9967518,42,81,6,KASRINE,TS222
2847700,19,119,6,MONASTIR,TS212
1014500,3,16,6,BEN AROUS,TS113
1811776,16,16,6,BEJE,TS121
7936174,51,63,6,SIDI BOUZID,TS223
4520630,21,31,6,SELIANA,TS124
13017730,22,91,6,BIZERT,TS117
1624010,8,13,6,SOUSSE,TS211
1176900,23,22,6,KEBILI,TS323
1575791,19,33,6,KEROUANE,TS221
9869583,56,59,6,SFAX,TS214
2596208,29,41,6,GAFSA,TS321
1966555,7,111,6,MANOUBA,TS114
2544297,19,41,6,ZAGOUAN,TS116
3070784,34,32,6,GABES,TS311
7463494,28,47,6,MEDNINE,TS312
1818598,5,13,6,TOUZER,TS322
2356762,25,83,6,NABEUL,TS115
8048000,18,32,6,MAHDIA,TS213
76206,1,2,6,ARIANA,TS112
1351965,19,13,6,EL KEF,TS123
61222,1,1,7,TUNIS,TS111
2139949,12,122,7,NABEUL,TS115
5021387,55,53,7,KASRINE,TS222
5354726,14,10,7,BEJE,TS121
3885195,15,96,7,BIZERT,TS117
5248674,23,193,7,ZAGOUAN,TS116
2122286,29,27,7,MEDNINE,TS312
2931890,28,36,7,GAFSA,TS321
1137400,10,19,7,MONASTIR,TS212
2692229,24,17,7,GABES,TS311
2465720,25,0,7,JANDOUBA,TS122
1707972,10,14,7,MANOUBA,TS114
378880,8,4,7,KEBILI,TS323
3231349,14,34,7,TOUZER,TS322
1192573,19,10,7,SELIANA,TS124
2142600,14,20,7,TATAOUINE,TS313
733452,8,18,7,SOUSSE,TS211
11283260,87,99,7,SIDI BOUZID,TS223
11602000,35,83,7,KEROUANE,TS221
6500883,69,57,7,SFAX,TS214
180900,2,0,7,ARIANA,TS112
6159000,22,46,7,MAHDIA,TS213
851500,9,21,7,BEN AROUS,TS113
641937,4,1,7,EL KEF,TS123
3084500,21,46,8,MAHDIA,TS213
9125235,37,77,8,KEROUANE,TS221
3814459,30,24,8,GABES,TS311
312190,3,4,8,TUNIS,TS111
2178500,14,13,8,TATAOUINE,TS313
5684511,49,58,8,KASRINE,TS222
2001420,11,197,8,ZAGOUAN,TS116
2556536,16,35,8,BIZERT,TS117
4108160,18,50,8,BEJE,TS121
15972787,27,92,8,NABEUL,TS115
4620181,42,66,8,SFAX,TS214
1040865,6,7,8,TOUZER,TS322
2246652,23,19,8,SELIANA,TS124
1000922,8,13,8,SOUSSE,TS211
1392032,21,20,8,KEBILI,TS323
1606900,10,14,8,MONASTIR,TS212
4498869,30,48,8,MEDNINE,TS312
367395,3,54,8,BEN AROUS,TS113
3553444,21,26,8,GAFSA,TS321
2498148,7,21,8,MANOUBA,TS114
2484634,32,9,8,EL KEF,TS123
6071895,46,50,8,SIDI BOUZID,TS223
1762050,7,1,8,ARIANA,TS112
1491719,20,24,8,JANDOUBA,TS122
1439453,8,34,9,BEN AROUS,TS113
272466,4,6,9,TUNIS,TS111
1086497,15,4,9,JANDOUBA,TS122
1127072,11,10,9,TOUZER,TS322
357535,6,0,9,ZAGOUAN,TS116
2777146,11,98,9,MANOUBA,TS114
351781,3,1,9,ARIANA,TS112
4549897,32,69,9,NABEUL,TS115
3745171,34,30,9,GABES,TS311
3211463,37,36,9,MEDNINE,TS312
7488976,7,42,9,SOUSSE,TS211
2106379,22,11,9,BEJE,TS121
9287075,82,126,9,SIDI BOUZID,TS223
11642564,77,142,9,KASRINE,TS222
3029833,30,36,9,GAFSA,TS321
3263344,49,16,9,EL KEF,TS123
4741430,39,114,9,SELIANA,TS124
23132981,44,64,9,KEROUANE,TS221
4702265,24,29,9,TATAOUINE,TS313
4111000,34,19,9,MAHDIA,TS213
1464252,15,15,9,KEBILI,TS323
9260645,39,184,9,BIZERT,TS117
589200,11,7,9,MONASTIR,TS212
13232939,78,83,9,SFAX,TS214
7490157,81,81,10,KASRINE,TS222
3876831,30,3,10,EL KEF,TS123
1211159,21,17,10,TATAOUINE,TS313
1013675,12,8,10,KEBILI,TS323
6591623,56,61,10,SIDI BOUZID,TS223
1328700,15,16,10,MONASTIR,TS212
1764341,11,149,10,ZAGOUAN,TS116
482000,6,4,10,BEN AROUS,TS113
3532300,27,54,10,MAHDIA,TS213
548523,7,25,10,TOUZER,TS322
24457160,48,558,10,KEROUANE,TS221
1556532,4,1,10,ARIANA,TS112
1516956,6,24,10,MANOUBA,TS114
2520520,35,32,10,MEDNINE,TS312
1193473,13,16,10,SOUSSE,TS211
2676477,30,26,10,BEJE,TS121
1552552,26,0,10,JANDOUBA,TS122
10450842,80,71,10,SFAX,
3568773,38,100,10,SELIANA,TS124
2674447,27,1233,10,GABES,TS311
2917631,27,38,10,NABEUL,TS115
8953414,44,151,10,BIZERT,TS117
101705,2,2,10,TUNIS,TS111
6298191,38,67,10,GAFSA,TS321
992941,7,5,11,TOUZER,TS322
11808500,7,45,11,BEN AROUS,TS113
5935697,23,41,11,EL KEF,TS123
7862608,17,41,11,BEJE,TS121
6330519,21,21,11,ZAGOUAN,TS116
1022412,8,8,11,SOUSSE,TS211
4022706,13,27,11,GABES,TS311
13007982,62,52,11,SFAX,TS214
4701284,27,78,11,NABEUL,TS115
8846247,26,47,11,GAFSA,TS321
3139167,43,48,11,MEDNINE,TS312
4441576,46,45,11,KASRINE,TS222
7051187,34,202,11,BIZERT,TS117
4507200,25,79,11,MONASTIR,TS212
3853109,24,26,11,SELIANA,TS124
9915588,91,99,11,SIDI BOUZID,TS223
934000,3,14,11,TUNIS,TS111
8396554,42,54,11,KEROUANE,TS221
1273776,15,13,11,KEBILI,TS323
12435525,14,48,11,MANOUBA,TS114
10746471,18,906,11,JANDOUBA,TS122
3879000,15,8,11,TATAOUINE,TS313
9157000,38,65,11,MAHDIA,TS213
3711789,5,8,11,ARIANA,TS112
1850032,16,177,12,NABEUL,TS115
2490828,16,40,12,SIDI BOUZID,TS223
2072466,10,38,12,SELIANA,TS124
1338500,10,25,12,MONASTIR,TS212
2485000,5,36,12,SOUSSE,TS211
1099575,12,22,12,GAFSA,TS321
1360323,12,9,12,GABES,TS311
1970000,11,16,12,MAHDIA,TS213
201638,2,3,12,MANOUBA,TS114
3073000,22,31,12,KEROUANE,TS221
383867,6,6,12,KEBILI,TS323
1647162,9,11,12,KASRINE,TS222
380996,7,463,12,JANDOUBA,TS122
2117606,11,101,12,BIZERT,TS117
243200,4,2,12,TATAOUINE,TS313
313500,3,3,12,MEDNINE,TS312
3684812,26,15,12,SFAX,TS214
855500,4,11,12,BEN AROUS,TS113
1229125,4,5,12,ARIANA,TS112
14577,1,0,12,TOUZER,TS322
8000,1,1,12,TUNIS,TS111
243318,2,9,12,EL KEF,TS123
1719957,3,37,12,BEJE,TS121
7275949,5,80,12,ZAGOUAN,TS116